company,job_title,salary,location,year
SQUARE INC,Engineering Manager,147000,"San Francisco, CA",2024
AMAZON WEB SERVICES INC,Financial Analyst,151000,"Cupertino, CA",2026
SQUARE INC,Analytics Engineer,144000,"San Francisco, CA",2024
AMAZON COM SERVICES LLC,Software Engineer,194000,"Detroit, MI",2025
COGNIZANT TECHNOLOGY SOLUTIONS,DevOps Engineer,78000,"Teaneck, NJ",2025
TWITTER INC,Research Scientist,176000,"Tampa, FL",2026
ACCENTURE LLP,Network Engineer,97000,"Chicago, IL",2024
AIRBNB INC,Analytics Engineer,194000,"San Francisco, CA",2026
VMWARE LLC,Infrastructure Engineer,137000,"Palo Alto, CA",2025
UBER TECHNOLOGIES INC,Systems Engineer,144000,"San Francisco, CA",2024
SERVICENOW INC,Machine Learning Engineer,136000,"Santa Clara, CA",2024
DELOITTE CONSULTING LLP,Technical Lead,112000,"New York, NY",2026
DOCUSIGN INC,Senior Data Engineer,134000,"San Francisco, CA",2026
ORACLE AMERICA INC,AI Engineer,174000,"Austin, TX",2026
SERVICENOW INC,DevOps Engineer,158000,"Bridgewater, NJ",2024
PALANTIR TECHNOLOGIES,Network Engineer,155000,"Denver, CO",2025
JPMORGAN CHASE & CO,Software Engineer,141000,"New York, NY",2025
SQUARE INC,Research Scientist,172000,"San Francisco, CA",2026
AIRBNB INC,Solutions Architect,148000,"Bellevue, WA",2024
INTEL CORPORATION,Machine Learning Engineer,172000,"Newark, NJ",2024
NETFLIX INC,Site Reliability Engineer,309000,"Portland, OR",2026
PINTEREST INC,Senior Software Engineer,156000,"Arlington, VA",2025
GOOGLE LLC,SRE,196000,"Mountain View, CA",2026
COGNIZANT TECHNOLOGY SOLUTIONS,Applied Scientist,65000,"Denver, CO",2025
IBM CORPORATION,Financial Analyst,145000,"Armonk, NY",2026
WALMART GLOBAL TECH,Infrastructure Engineer,131000,"Indianapolis, IN",2024
APPLE INC,Analytics Engineer,192000,"Cupertino, CA",2025
SPLUNK INC,Applied Scientist,165000,"Jersey City, NJ",2024
DELOITTE CONSULTING LLP,Senior Data Engineer,114000,"New York, NY",2025
DOCUSIGN INC,Analytics Engineer,175000,"San Francisco, CA",2025
SERVICENOW INC,Database Administrator,170000,"Santa Clara, CA",2026
AMAZON COM SERVICES LLC,Analytics Engineer,141000,"Seattle, WA",2024
WALMART GLOBAL TECH,Staff Software Engineer,120000,"Bentonville, AR",2025
TESLA INC,Analytics Engineer,127000,"Austin, TX",2026
ORACLE AMERICA INC,Research Scientist,133000,"Austin, TX",2024
COGNIZANT TECHNOLOGY SOLUTIONS,Cloud Engineer,104000,"Teaneck, NJ",2026
META PLATFORMS INC,Systems Engineer,175000,"Menlo Park, CA",2026
STRIPE INC,Senior Engineering Manager,163000,"South San Francisco, CA",2026
IBM CORPORATION,Data Scientist,131000,"Armonk, NY",2024
MICROSOFT CORPORATION,Engineering Manager,188000,"Nashville, TN",2024
SNAP INC,Technical Program Manager,182000,"Santa Monica, CA",2025
GOOGLE LLC,Analytics Engineer,162000,"Mountain View, CA",2025
NETFLIX INC,Platform Engineer,316000,"Alpharetta, GA",2025
CAPITAL ONE SERVICES LLC,Technical Program Manager,124000,"McLean, VA",2026
WORKDAY INC,Machine Learning Engineer,108000,"Pleasanton, CA",2026
GOOGLE LLC,Security Engineer,167000,"Mountain View, CA",2024
SERVICENOW INC,Cloud Engineer,160000,"Sunnyvale, CA",2024
WORKDAY INC,Machine Learning Engineer,156000,"Pleasanton, CA",2024
INFOSYS LIMITED,UX Engineer,68000,"Plano, TX",2025
WALMART GLOBAL TECH,Research Scientist,144000,"Phoenix, AZ",2026
SNAP INC,Solutions Architect,145000,"Miami, FL",2026
AIRBNB INC,Network Engineer,146000,"Tampa, FL",2024
DATADOG INC,Machine Learning Engineer,121000,"New York, NY",2024
WALMART GLOBAL TECH,UX Engineer,144000,"Bentonville, AR",2024
SERVICENOW INC,Product Manager,143000,"Santa Clara, CA",2026
GOOGLE LLC,Cloud Engineer,216000,"Dallas, TX",2026
ZOOM VIDEO COMMUNICATIONS,Backend Engineer,132000,"San Jose, CA",2026
JPMORGAN CHASE & CO,Technical Lead,125000,"New York, NY",2024
SALESFORCE INC,Systems Engineer,165000,"Sacramento, CA",2025
META PLATFORMS INC,Solutions Architect,214000,"Menlo Park, CA",2024
NETFLIX INC,Database Administrator,281000,"San Diego, CA",2024
AMAZON WEB SERVICES INC,Technical Program Manager,182000,"Pittsburgh, PA",2026
DROPOBOX INC,AI Engineer,152000,"Sacramento, CA",2025
WORKDAY INC,Senior Data Engineer,157000,"Redmond, WA",2025
GOOGLE LLC,Platform Engineer,199000,"Mountain View, CA",2024
LINKEDIN CORPORATION,Data Engineer,156000,"Sunnyvale, CA",2026
GOOGLE LLC,Senior DevOps Engineer,172000,"Mountain View, CA",2025
PALANTIR TECHNOLOGIES,Technical Lead,178000,"Denver, CO",2026
GOOGLE LLC,Technical Program Manager,200000,"Mountain View, CA",2026
AMAZON COM SERVICES LLC,AI Engineer,170000,"Cambridge, MA",2026
NETFLIX INC,Data Scientist,248000,"Los Gatos, CA",2026
APPLE INC,Staff Software Engineer,196000,"New York, NY",2024
SQUARE INC,Technical Program Manager,149000,"Arlington, VA",2024
TATA CONSULTANCY SERVICES,Cloud Engineer,65000,"Tempe, AZ",2026
SERVICENOW INC,Research Scientist,163000,"Tampa, FL",2026
LINKEDIN CORPORATION,SRE,208000,"Sunnyvale, CA",2025
JPMORGAN CHASE & CO,Senior Product Manager,120000,"New York, NY",2026
STRIPE INC,QA Engineer,222000,"South San Francisco, CA",2024
WORKDAY INC,Data Scientist,164000,"Pleasanton, CA",2025
MICROSOFT CORPORATION,Network Engineer,168000,"Redmond, WA",2024
CAPITAL ONE SERVICES LLC,SRE,159000,"Newark, NJ",2025
GOLDMAN SACHS & CO LLC,DevOps Engineer,131000,"Dallas, TX",2025
PALANTIR TECHNOLOGIES,Software Engineer,170000,"Milwaukee, WI",2026
LINKEDIN CORPORATION,SDET,207000,"Redmond, WA",2026
SNAP INC,Machine Learning Engineer,155000,"Santa Monica, CA",2025
ADOBE INC,Data Scientist,125000,"San Jose, CA",2025
APPLE INC,Network Engineer,149000,"Cupertino, CA",2026
META PLATFORMS INC,Senior Product Manager,208000,"San Diego, CA",2026
PALANTIR TECHNOLOGIES,SDET,176000,"Denver, CO",2025
SALESFORCE INC,Database Administrator,175000,"Phoenix, AZ",2024
VMWARE LLC,Systems Engineer,122000,"Palo Alto, CA",2025
TWITTER INC,Operations Research Analyst,166000,"San Francisco, CA",2025
ADOBE INC,Engineering Manager,184000,"San Jose, CA",2025
ADOBE INC,Financial Analyst,136000,"San Jose, CA",2026
ACCENTURE LLP,Machine Learning Engineer,110000,"Chicago, IL",2026
ORACLE AMERICA INC,Senior Data Engineer,128000,"Austin, TX",2025
APPLE INC,Senior Data Engineer,206000,"Cupertino, CA",2024
COGNIZANT TECHNOLOGY SOLUTIONS,Data Engineer,101000,"Reston, VA",2026
SERVICENOW INC,Business Intelligence Engineer,174000,"Santa Clara, CA",2025
WORKDAY INC,Backend Engineer,132000,"Mountain View, CA",2024
NETFLIX INC,Engineering Manager,342000,"Los Gatos, CA",2024
CAPITAL ONE SERVICES LLC,Site Reliability Engineer,157000,"McLean, VA",2024
SNAP INC,Operations Research Analyst,139000,"Santa Monica, CA",2024
DROPOBOX INC,Business Intelligence Engineer,128000,"San Francisco, CA",2026
UBER TECHNOLOGIES INC,Network Engineer,179000,"Cupertino, CA",2025
DATADOG INC,Senior Engineering Manager,189000,"Indianapolis, IN",2024
SNAP INC,Technical Program Manager,192000,"Santa Monica, CA",2026
SALESFORCE INC,Security Engineer,131000,"Pittsburgh, PA",2026
CAPITAL ONE SERVICES LLC,Data Scientist,152000,"McLean, VA",2025
WALMART GLOBAL TECH,Backend Engineer,127000,"Bentonville, AR",2024
AMAZON COM SERVICES LLC,Senior Engineering Manager,196000,"San Diego, CA",2025
DOCUSIGN INC,Software Engineer,135000,"San Francisco, CA",2024
SNAP INC,Senior DevOps Engineer,149000,"Santa Monica, CA",2026
DROPOBOX INC,Financial Analyst,149000,"Bridgewater, NJ",2024
NVIDIA CORPORATION,Senior Data Scientist,166000,"Santa Clara, CA",2025
LINKEDIN CORPORATION,Research Scientist,160000,"Sunnyvale, CA",2025
AIRBNB INC,Senior Data Engineer,151000,"San Francisco, CA",2026
ADOBE INC,Senior Software Engineer,193000,"San Jose, CA",2026
SERVICENOW INC,DevOps Engineer,175000,"Santa Clara, CA",2024
TESLA INC,Software Engineer,126000,"Houston, TX",2025
PINTEREST INC,Senior Engineering Manager,149000,"San Francisco, CA",2026
AIRBNB INC,Analytics Engineer,166000,"San Francisco, CA",2026
MICROSOFT CORPORATION,Platform Engineer,155000,"Phoenix, AZ",2026
GOLDMAN SACHS & CO LLC,Big Data Engineer,117000,"New York, NY",2025
GOOGLE LLC,Machine Learning Engineer,196000,"Mountain View, CA",2024
VMWARE LLC,QA Engineer,133000,"Arlington, VA",2026
ACCENTURE LLP,Senior Data Engineer,106000,"Chicago, IL",2025
META PLATFORMS INC,SRE,213000,"Irvine, CA",2024
DELOITTE CONSULTING LLP,Technical Lead,110000,"Chicago, IL",2025
TESLA INC,Platform Engineer,157000,"Austin, TX",2026
ADOBE INC,Data Engineer,145000,"San Jose, CA",2026
TATA CONSULTANCY SERVICES,Technical Program Manager,104000,"Richmond, VA",2026
TESLA INC,Systems Engineer,120000,"Minneapolis, MN",2025
SPLUNK INC,SRE,153000,"San Francisco, CA",2024
SERVICENOW INC,SDET,112000,"Sacramento, CA",2024
AMAZON WEB SERVICES INC,QA Engineer,193000,"Minneapolis, MN",2025
INFOSYS LIMITED,Senior DevOps Engineer,108000,"Schaumburg, IL",2025
AMAZON WEB SERVICES INC,SDET,182000,"Seattle, WA",2024
UBER TECHNOLOGIES INC,Machine Learning Engineer,194000,"San Francisco, CA",2025
DELOITTE CONSULTING LLP,Data Scientist,98000,"New York, NY",2026
STRIPE INC,Big Data Engineer,164000,"South San Francisco, CA",2025
META PLATFORMS INC,Engineering Manager,201000,"Menlo Park, CA",2025
LINKEDIN CORPORATION,DevOps Engineer,172000,"Columbus, OH",2025
SALESFORCE INC,Full Stack Engineer,173000,"San Francisco, CA",2025
WORKDAY INC,Full Stack Engineer,122000,"Dallas, TX",2025
AMAZON WEB SERVICES INC,Site Reliability Engineer,195000,"St. Louis, MO",2025
NETFLIX INC,Security Engineer,308000,"San Francisco, CA",2024
CAPITAL ONE SERVICES LLC,Security Engineer,158000,"McLean, VA",2025
NVIDIA CORPORATION,Big Data Engineer,179000,"Santa Clara, CA",2024
COGNIZANT TECHNOLOGY SOLUTIONS,Data Scientist,82000,"Teaneck, NJ",2026
TESLA INC,Financial Analyst,111000,"Austin, TX",2024
TESLA INC,Data Scientist,130000,"San Francisco, CA",2024
DATADOG INC,Solutions Architect,155000,"New York, NY",2024
JPMORGAN CHASE & CO,DevOps Engineer,132000,"St. Louis, MO",2024
TESLA INC,Senior Engineering Manager,170000,"Austin, TX",2026
DROPOBOX INC,SDET,136000,"San Francisco, CA",2024
PALANTIR TECHNOLOGIES,UX Engineer,131000,"Bridgewater, NJ",2026
DOCUSIGN INC,Senior Data Scientist,151000,"San Francisco, CA",2025
TESLA INC,Applied Scientist,133000,"Austin, TX",2026
TATA CONSULTANCY SERVICES,Analytics Engineer,71000,"Bridgewater, NJ",2024
DROPOBOX INC,Applied Scientist,122000,"San Francisco, CA",2024
SNAP INC,Security Engineer,147000,"Detroit, MI",2024
DELOITTE CONSULTING LLP,Senior DevOps Engineer,139000,"Ann Arbor, MI",2024
TWITTER INC,Cloud Engineer,147000,"San Francisco, CA",2026
GOLDMAN SACHS & CO LLC,Solutions Architect,164000,"Irvine, CA",2025
TWITTER INC,Senior Data Engineer,170000,"Salt Lake City, UT",2024
VMWARE LLC,Operations Research Analyst,174000,"Palo Alto, CA",2025
CAPITAL ONE SERVICES LLC,Analytics Engineer,100000,"McLean, VA",2024
UBER TECHNOLOGIES INC,Technical Program Manager,195000,"San Francisco, CA",2026
ZOOM VIDEO COMMUNICATIONS,Senior Data Engineer,134000,"San Jose, CA",2026
DATADOG INC,Senior Software Engineer,179000,"New York, NY",2025
AMAZON WEB SERVICES INC,Infrastructure Engineer,166000,"Seattle, WA",2025
DOCUSIGN INC,Data Engineer,148000,"San Francisco, CA",2026
AMAZON WEB SERVICES INC,Software Engineer,179000,"Seattle, WA",2024
VMWARE LLC,Senior Software Engineer,144000,"Dallas, TX",2024
SERVICENOW INC,Data Engineer,144000,"Santa Clara, CA",2026
MICROSOFT CORPORATION,Technical Program Manager,141000,"Redmond, WA",2024
SNAP INC,UX Engineer,143000,"Santa Monica, CA",2026
GOOGLE LLC,DevOps Engineer,217000,"Raleigh, NC",2025
GOLDMAN SACHS & CO LLC,Senior Engineering Manager,151000,"Cupertino, CA",2026
ZOOM VIDEO COMMUNICATIONS,Data Engineer,115000,"San Jose, CA",2024
SQUARE INC,SRE,179000,"Atlanta, GA",2025
DELOITTE CONSULTING LLP,Product Manager,132000,"New York, NY",2025
NVIDIA CORPORATION,Security Engineer,192000,"Santa Clara, CA",2024
ADOBE INC,Frontend Engineer,189000,"San Jose, CA",2025
NVIDIA CORPORATION,Security Engineer,170000,"McLean, VA",2025
INTEL CORPORATION,Senior Data Scientist,179000,"Santa Clara, CA",2025
VMWARE LLC,Big Data Engineer,145000,"Palo Alto, CA",2025
TESLA INC,Infrastructure Engineer,151000,"Austin, TX",2025
STRIPE INC,Site Reliability Engineer,149000,"Bellevue, WA",2024
PINTEREST INC,Research Scientist,187000,"Chicago, IL",2025
IBM CORPORATION,Cloud Engineer,136000,"Armonk, NY",2026
DATADOG INC,Data Scientist,173000,"San Francisco, CA",2025
COGNIZANT TECHNOLOGY SOLUTIONS,Platform Engineer,101000,"Teaneck, NJ",2025
UBER TECHNOLOGIES INC,Research Scientist,132000,"Reston, VA",2025
WORKDAY INC,Frontend Engineer,120000,"Pleasanton, CA",2025
SERVICENOW INC,Research Scientist,151000,"Santa Clara, CA",2026
DATADOG INC,Compliance Analyst,129000,"New York, NY",2026
IBM CORPORATION,Systems Engineer,104000,"Los Angeles, CA",2024
COGNIZANT TECHNOLOGY SOLUTIONS,Senior Data Engineer,95000,"Teaneck, NJ",2026
TWITTER INC,Business Intelligence Engineer,131000,"San Francisco, CA",2026
GOLDMAN SACHS & CO LLC,Data Engineer,139000,"New York, NY",2025
GOLDMAN SACHS & CO LLC,Senior Data Engineer,154000,"Los Angeles, CA",2026
IBM CORPORATION,Technical Lead,159000,"Armonk, NY",2026
DELOITTE CONSULTING LLP,Security Engineer,101000,"New York, NY",2024
ORACLE AMERICA INC,SDET,165000,"San Francisco, CA",2024
NETFLIX INC,SRE,269000,"Los Gatos, CA",2024
GOLDMAN SACHS & CO LLC,Staff Software Engineer,140000,"Salt Lake City, UT",2026
TESLA INC,Machine Learning Engineer,170000,"Seattle, WA",2024
PALANTIR TECHNOLOGIES,Technical Lead,174000,"Denver, CO",2025
TWITTER INC,Engineering Manager,187000,"San Francisco, CA",2024
INFOSYS LIMITED,Security Engineer,80000,"Richmond, VA",2026
WORKDAY INC,QA Engineer,129000,"Pleasanton, CA",2025
INTEL CORPORATION,QA Engineer,111000,"New York, NY",2024
AMAZON WEB SERVICES INC,Solutions Architect,193000,"Phoenix, AZ",2025
META PLATFORMS INC,Backend Engineer,158000,"Menlo Park, CA",2026
DELOITTE CONSULTING LLP,Solutions Architect,100000,"New York, NY",2026
INFOSYS LIMITED,Platform Engineer,75000,"Plano, TX",2024
VMWARE LLC,Business Intelligence Engineer,149000,"Boston, MA",2024
TATA CONSULTANCY SERVICES,AI Engineer,100000,"Cambridge, MA",2026
DATADOG INC,Business Intelligence Engineer,164000,"Bentonville, AR",2025
GOOGLE LLC,Engineering Manager,218000,"Tampa, FL",2024
VMWARE LLC,Network Engineer,124000,"Palo Alto, CA",2024
VMWARE LLC,Technical Lead,175000,"Palo Alto, CA",2025
AIRBNB INC,Research Scientist,130000,"San Francisco, CA",2024
INFOSYS LIMITED,Big Data Engineer,101000,"Cupertino, CA",2024
GOOGLE LLC,QA Engineer,156000,"Mountain View, CA",2026
ADOBE INC,Senior Product Manager,188000,"San Jose, CA",2026
CAPITAL ONE SERVICES LLC,AI Engineer,159000,"McLean, VA",2025
SALESFORCE INC,Applied Scientist,132000,"Schaumburg, IL",2026
SALESFORCE INC,Software Engineer,150000,"San Francisco, CA",2025
TATA CONSULTANCY SERVICES,Applied Scientist,72000,"Austin, TX",2024
ORACLE AMERICA INC,Systems Engineer,136000,"Cambridge, MA",2024
SNAP INC,Big Data Engineer,188000,"Irvine, CA",2024
JPMORGAN CHASE & CO,Data Scientist,155000,"New York, NY",2024
DROPOBOX INC,UX Engineer,188000,"Cambridge, MA",2026
INFOSYS LIMITED,Data Scientist,80000,"Plano, TX",2024
LINKEDIN CORPORATION,Applied Scientist,148000,"Cambridge, MA",2024
IBM CORPORATION,Research Scientist,151000,"Armonk, NY",2024
DELOITTE CONSULTING LLP,Database Administrator,88000,"New York, NY",2026
ACCENTURE LLP,Platform Engineer,132000,"Chicago, IL",2025
AMAZON WEB SERVICES INC,Full Stack Engineer,193000,"Seattle, WA",2024
COGNIZANT TECHNOLOGY SOLUTIONS,Product Manager,102000,"Teaneck, NJ",2026
UBER TECHNOLOGIES INC,Site Reliability Engineer,160000,"San Francisco, CA",2024
SPLUNK INC,Compliance Analyst,148000,"Sacramento, CA",2025
SERVICENOW INC,Senior Engineering Manager,152000,"Chicago, IL",2024
SPLUNK INC,Full Stack Engineer,134000,"Sacramento, CA",2025
NETFLIX INC,Operations Research Analyst,335000,"Los Gatos, CA",2025
GOOGLE LLC,Backend Engineer,174000,"Mountain View, CA",2025
DROPOBOX INC,Analytics Engineer,137000,"San Francisco, CA",2026
LINKEDIN CORPORATION,Security Engineer,175000,"Columbus, OH",2024
NETFLIX INC,Research Scientist,278000,"Austin, TX",2026
IBM CORPORATION,Engineering Manager,129000,"Nashville, TN",2026
AMAZON COM SERVICES LLC,Machine Learning Engineer,180000,"Schaumburg, IL",2026
NETFLIX INC,DevOps Engineer,318000,"Los Gatos, CA",2024
AIRBNB INC,Product Manager,163000,"San Francisco, CA",2025
PALANTIR TECHNOLOGIES,Software Engineer,141000,"Denver, CO",2024
NVIDIA CORPORATION,Business Intelligence Engineer,250000,"Santa Clara, CA",2025
APPLE INC,AI Engineer,164000,"Milwaukee, WI",2025
CAPITAL ONE SERVICES LLC,Data Scientist,137000,"McLean, VA",2024
TWITTER INC,Product Manager,176000,"San Francisco, CA",2026
WORKDAY INC,Database Administrator,111000,"Pleasanton, CA",2024
STRIPE INC,Data Engineer,193000,"South San Francisco, CA",2024
SPLUNK INC,Senior DevOps Engineer,164000,"San Francisco, CA",2024
PALANTIR TECHNOLOGIES,Engineering Manager,146000,"Denver, CO",2024
NVIDIA CORPORATION,Network Engineer,209000,"Santa Clara, CA",2024
NETFLIX INC,Security Engineer,206000,"Los Angeles, CA",2026
IBM CORPORATION,Operations Research Analyst,110000,"Houston, TX",2024
AMAZON COM SERVICES LLC,Product Manager,179000,"Seattle, WA",2025
ACCENTURE LLP,Senior Product Manager,125000,"Mountain View, CA",2024
IBM CORPORATION,Staff Software Engineer,132000,"Armonk, NY",2026
ADOBE INC,Senior Software Engineer,160000,"Philadelphia, PA",2024
MICROSOFT CORPORATION,Data Engineer,173000,"Jersey City, NJ",2026
ORACLE AMERICA INC,Solutions Architect,144000,"Austin, TX",2025
SPLUNK INC,Systems Engineer,188000,"St. Louis, MO",2025
TESLA INC,Backend Engineer,143000,"Milwaukee, WI",2024
AIRBNB INC,Data Scientist,181000,"San Francisco, CA",2025
AMAZON COM SERVICES LLC,Technical Lead,191000,"Seattle, WA",2026
AIRBNB INC,Applied Scientist,139000,"San Francisco, CA",2025
CAPITAL ONE SERVICES LLC,Full Stack Engineer,110000,"New York, NY",2026
DOCUSIGN INC,Data Engineer,157000,"Columbus, OH",2025
SALESFORCE INC,QA Engineer,163000,"St. Louis, MO",2024
SQUARE INC,Staff Software Engineer,173000,"San Francisco, CA",2026
ACCENTURE LLP,Security Engineer,108000,"Redmond, WA",2025
AMAZON COM SERVICES LLC,SRE,196000,"Richmond, VA",2024
DATADOG INC,Software Engineer,178000,"New York, NY",2024
PALANTIR TECHNOLOGIES,Engineering Manager,150000,"Denver, CO",2024
DELOITTE CONSULTING LLP,Engineering Manager,138000,"Ann Arbor, MI",2025
COGNIZANT TECHNOLOGY SOLUTIONS,AI Engineer,89000,"Atlanta, GA",2024
PALANTIR TECHNOLOGIES,Security Engineer,142000,"Denver, CO",2025
META PLATFORMS INC,Solutions Architect,177000,"Menlo Park, CA",2026
IBM CORPORATION,Data Scientist,125000,"San Diego, CA",2026
PINTEREST INC,UX Engineer,186000,"San Francisco, CA",2024
SQUARE INC,Systems Engineer,184000,"San Francisco, CA",2024
DOCUSIGN INC,Senior Data Engineer,167000,"Atlanta, GA",2026
TATA CONSULTANCY SERVICES,Data Scientist,67000,"Columbus, OH",2026
SQUARE INC,Machine Learning Engineer,174000,"San Francisco, CA",2024
SERVICENOW INC,Senior Data Scientist,171000,"Santa Clara, CA",2025
ORACLE AMERICA INC,Site Reliability Engineer,111000,"Salt Lake City, UT",2024
TWITTER INC,Senior Data Scientist,168000,"San Francisco, CA",2024
ORACLE AMERICA INC,Infrastructure Engineer,161000,"Austin, TX",2025
DOCUSIGN INC,Site Reliability Engineer,138000,"San Francisco, CA",2026
SQUARE INC,Technical Program Manager,135000,"St. Louis, MO",2026
TESLA INC,Product Manager,173000,"Austin, TX",2026
TATA CONSULTANCY SERVICES,AI Engineer,80000,"Bridgewater, NJ",2026
NETFLIX INC,Engineering Manager,293000,"Los Gatos, CA",2025
LINKEDIN CORPORATION,Senior DevOps Engineer,207000,"Sunnyvale, CA",2025
CAPITAL ONE SERVICES LLC,Research Scientist,104000,"McLean, VA",2026
PINTEREST INC,Senior Data Scientist,161000,"Richmond, VA",2026
DROPOBOX INC,Senior Engineering Manager,140000,"San Francisco, CA",2026
STRIPE INC,Site Reliability Engineer,180000,"South San Francisco, CA",2024
NETFLIX INC,Senior Data Engineer,230000,"Sacramento, CA",2025
PALANTIR TECHNOLOGIES,SRE,182000,"Dallas, TX",2025
UBER TECHNOLOGIES INC,Senior Data Scientist,182000,"Austin, TX",2024
CAPITAL ONE SERVICES LLC,Backend Engineer,132000,"McLean, VA",2025
SQUARE INC,Network Engineer,116000,"San Francisco, CA",2026
INTEL CORPORATION,Solutions Architect,111000,"Santa Clara, CA",2024
DOCUSIGN INC,Data Scientist,156000,"Cupertino, CA",2026
CAPITAL ONE SERVICES LLC,Engineering Manager,132000,"Jersey City, NJ",2025
SPLUNK INC,Staff Software Engineer,142000,"San Francisco, CA",2025
MICROSOFT CORPORATION,Big Data Engineer,189000,"Bellevue, WA",2024
DATADOG INC,Senior Data Scientist,150000,"New York, NY",2024
APPLE INC,Product Manager,180000,"Cupertino, CA",2025
INTEL CORPORATION,Backend Engineer,122000,"Santa Clara, CA",2024
COGNIZANT TECHNOLOGY SOLUTIONS,Security Engineer,105000,"Chicago, IL",2025
TATA CONSULTANCY SERVICES,Senior Data Scientist,97000,"Bridgewater, NJ",2024
MICROSOFT CORPORATION,Frontend Engineer,151000,"Redmond, WA",2025
TESLA INC,Product Manager,146000,"Pittsburgh, PA",2026
IBM CORPORATION,Technical Program Manager,128000,"Armonk, NY",2026
TWITTER INC,Senior Product Manager,162000,"San Francisco, CA",2025
ACCENTURE LLP,Database Administrator,86000,"Atlanta, GA",2024
GOLDMAN SACHS & CO LLC,Senior Product Manager,138000,"Dallas, TX",2024
LINKEDIN CORPORATION,Financial Analyst,194000,"San Jose, CA",2025
PINTEREST INC,Senior Data Engineer,191000,"Seattle, WA",2026
PALANTIR TECHNOLOGIES,Applied Scientist,170000,"Newark, NJ",2026
STRIPE INC,Technical Program Manager,195000,"South San Francisco, CA",2025
GOOGLE LLC,Financial Analyst,195000,"Mountain View, CA",2024
PALANTIR TECHNOLOGIES,Senior Product Manager,142000,"Denver, CO",2026
JPMORGAN CHASE & CO,Infrastructure Engineer,127000,"New York, NY",2024
SQUARE INC,Senior Data Engineer,170000,"San Francisco, CA",2025
NVIDIA CORPORATION,Engineering Manager,221000,"Indianapolis, IN",2026
META PLATFORMS INC,Data Scientist,185000,"Menlo Park, CA",2025
ADOBE INC,Security Engineer,139000,"San Jose, CA",2024
SERVICENOW INC,Product Manager,179000,"Santa Clara, CA",2024
TESLA INC,Business Intelligence Engineer,168000,"Austin, TX",2025
SNAP INC,UX Engineer,163000,"Santa Monica, CA",2026
SALESFORCE INC,Solutions Architect,190000,"Tampa, FL",2024
CAPITAL ONE SERVICES LLC,Security Engineer,142000,"Bridgewater, NJ",2024
AMAZON WEB SERVICES INC,QA Engineer,203000,"Seattle, WA",2026
LINKEDIN CORPORATION,Research Scientist,162000,"Sunnyvale, CA",2024
VMWARE LLC,Platform Engineer,144000,"Palo Alto, CA",2024
NVIDIA CORPORATION,Senior Engineering Manager,174000,"Ann Arbor, MI",2026
TESLA INC,Frontend Engineer,156000,"Phoenix, AZ",2024
DELOITTE CONSULTING LLP,Senior Software Engineer,115000,"Brooklyn, NY",2026
VMWARE LLC,Cloud Engineer,164000,"Palo Alto, CA",2025
INTEL CORPORATION,Software Engineer,178000,"Santa Clara, CA",2024
ACCENTURE LLP,Compliance Analyst,128000,"Chicago, IL",2025
WALMART GLOBAL TECH,SDET,91000,"Bentonville, AR",2026
ACCENTURE LLP,Business Intelligence Engineer,87000,"Chicago, IL",2025
PINTEREST INC,Machine Learning Engineer,144000,"San Diego, CA",2024
CAPITAL ONE SERVICES LLC,Senior Engineering Manager,138000,"McLean, VA",2026
ADOBE INC,Full Stack Engineer,144000,"New York, NY",2026
JPMORGAN CHASE & CO,Analytics Engineer,168000,"New York, NY",2025
CAPITAL ONE SERVICES LLC,AI Engineer,125000,"McLean, VA",2025
DROPOBOX INC,Cloud Engineer,137000,"San Francisco, CA",2025
MICROSOFT CORPORATION,Security Engineer,164000,"Tampa, FL",2026
ACCENTURE LLP,Technical Program Manager,123000,"New York, NY",2025
ADOBE INC,AI Engineer,138000,"San Jose, CA",2025
MICROSOFT CORPORATION,Site Reliability Engineer,121000,"Phoenix, AZ",2024
MICROSOFT CORPORATION,Data Scientist,178000,"Redmond, WA",2025
VMWARE LLC,Senior Product Manager,160000,"Palo Alto, CA",2024
INFOSYS LIMITED,Business Intelligence Engineer,92000,"Denver, CO",2024
INFOSYS LIMITED,Senior Software Engineer,103000,"Baltimore, MD",2026
PINTEREST INC,UX Engineer,129000,"San Francisco, CA",2026
TATA CONSULTANCY SERVICES,Senior Data Scientist,84000,"Bridgewater, NJ",2026
UBER TECHNOLOGIES INC,UX Engineer,165000,"Cupertino, CA",2026
SALESFORCE INC,Site Reliability Engineer,190000,"San Francisco, CA",2025
ORACLE AMERICA INC,AI Engineer,129000,"Austin, TX",2026
GOLDMAN SACHS & CO LLC,SDET,142000,"New York, NY",2025
INFOSYS LIMITED,Compliance Analyst,91000,"Plano, TX",2025
GOOGLE LLC,Staff Software Engineer,209000,"New York, NY",2026
META PLATFORMS INC,Staff Software Engineer,175000,"Austin, TX",2024
ACCENTURE LLP,Senior DevOps Engineer,117000,"Chicago, IL",2026
AMAZON WEB SERVICES INC,Platform Engineer,163000,"San Diego, CA",2024
INTEL CORPORATION,Analytics Engineer,172000,"Columbus, OH",2024
DATADOG INC,Applied Scientist,139000,"St. Louis, MO",2026
ADOBE INC,Engineering Manager,145000,"San Jose, CA",2025
PALANTIR TECHNOLOGIES,Solutions Architect,171000,"Denver, CO",2025
DELOITTE CONSULTING LLP,Network Engineer,102000,"Mountain View, CA",2024
